code,name
WTI,Rohölpreis 
BRENT,Rohölpreis
NATURAL_GAS,Erdgas
COPPER,Kupfer
ALUMINIUM,Aluminium
WHEAT,Weizen
CORN,Mais
COTTON,Baumwolle
SUGAR,Zucker
COFFEE,Kaffee
COMMODITIES,Globaler Rohstoff-Preisindex
